Date,JNJ,PG,MSFT,KO,XOM,NKE,IBM,WMT,AAPL,JPM
1995-03-08,14.625,16.40625,4.109375,13.84375,16.0,2.296875,19.9375,12.3125,1.3839290000000002,12.833333
1995-03-09,14.5,16.3125,4.28125,13.875,16.21875,2.335938,20.09375,12.1875,1.424107,12.583333
1995-03-10,14.59375,16.59375,4.242188,13.75,16.1875,2.351563,20.21875,12.125,1.4151790000000002,12.583333
1995-03-13,14.875,16.8125,4.289063,14.1875,16.25,2.390625,20.375,12.375,1.4151790000000002,12.958333
1995-03-14,15.0625,16.9375,4.335938,14.21875,16.28125,2.417969,20.5625,12.4375,1.3660709999999998,12.958333
1995-03-15,15.09375,17.09375,4.484375,14.21875,16.1875,2.375,20.3125,12.375,1.267857,12.958333
1995-03-16,15.375,17.1875,4.375,14.28125,16.125,2.382813,20.4375,12.3125,1.2589290000000002,13.083333
1995-03-17,15.5,17.1875,4.40625,14.625,16.3125,2.390625,20.875,12.375,1.267857,13.166667000000002
1995-03-20,15.59375,17.3125,4.382813,14.5625,16.34375,2.382813,20.6875,12.125,1.254464,13.125
1995-03-21,15.4375,17.375,4.453125,14.4375,16.1875,2.375,20.875,12.25,1.267857,13.083333
1995-03-22,15.46875,17.34375,4.40625,14.65625,16.1875,2.308594,20.53125,12.1875,1.294643,12.958333
1995-03-23,15.375,17.3125,4.460938,14.597656,16.375,2.308594,20.375,12.1875,1.3526790000000002,12.833333
1995-03-24,15.3125,17.28125,4.578125,14.5,16.375,2.316406,20.90625,12.125,1.3348209999999998,12.916667
1995-03-27,15.53125,17.53125,4.546875,14.40625,16.59375,2.339844,20.96875,12.3125,1.34375,12.875
1995-03-28,15.4375,17.28125,4.554688,14.34375,16.53125,2.355469,21.21875,12.25,1.294643,12.833333
1995-03-29,15.375,17.15625,4.601563,14.25,16.4375,2.34375,21.0625,12.5,1.214286,12.833333
1995-03-30,15.125,16.90625,4.53125,14.40625,16.59375,2.324219,20.78125,12.8125,1.236607,12.833333
1995-03-31,14.9375,16.59375,4.484375,14.1875,16.5,2.3125,20.53125,12.6875,1.254464,12.583333
1995-04-03,14.84375,16.625,4.4375,14.09375,16.625,2.335938,20.5625,12.8125,1.267857,12.583333
1995-04-04,14.875,16.59375,4.390625,14.46875,16.5625,2.382813,20.78125,13.0,1.276786,12.791667
1995-04-05,14.96875,16.90625,4.367188,14.59375,16.8125,2.375,20.71875,12.9375,1.21875,12.875
1995-04-06,14.875,17.0625,4.414063,14.5625,17.0,2.371094,21.09375,12.8125,1.330357,13.291667000000002
1995-04-07,14.84375,17.1875,4.390625,14.625,16.6875,2.363281,20.9375,12.6875,1.3214290000000002,13.791667000000002
1995-04-10,14.6875,17.09375,4.34375,14.6875,16.65625,2.34375,21.0,12.5625,1.316964,13.458332999999998
1995-04-11,15.09375,17.21875,4.476563,14.625,16.71875,2.34375,21.46875,12.6875,1.3125,13.625
1995-04-12,15.0625,16.84375,4.507813,14.46875,16.6875,2.332031,21.625,12.5625,1.3660709999999998,13.375
1995-04-13,15.0625,17.0625,4.484375,14.59375,16.71875,2.34375,21.71875,12.5625,1.401786,13.375
1995-04-17,15.5,17.03125,4.71875,14.53125,16.90625,2.339844,21.75,12.6875,1.361607,13.458332999999998
1995-04-18,15.46875,16.9375,4.835938,14.28125,16.875,2.304688,22.03125,12.75,1.375,13.583332999999998
1995-04-19,15.6875,16.9375,4.789063,14.59375,17.03125,2.324219,21.96875,12.625,1.339286,13.916667000000002
1995-04-20,15.65625,16.9375,4.78125,14.46875,17.09375,2.289063,22.40625,12.5625,1.325893,13.708332999999998
1995-04-21,15.75,17.28125,4.726563,14.3125,17.4375,2.289063,22.34375,12.4375,1.330357,13.833332999999998
1995-04-24,15.8125,17.15625,4.710938,14.53125,17.3125,2.285156,22.875,12.1875,1.392857,13.625
1995-04-25,16.0,17.34375,4.851563,14.59375,17.40625,2.3125,23.28125,12.125,1.3973209999999998,13.958332999999998
1995-04-26,15.90625,17.0625,4.984375,14.5625,17.5,2.347656,23.28125,11.875,1.34375,13.958332999999998
1995-04-27,16.0,17.09375,4.976563,14.53125,17.40625,2.359375,23.71875,11.75,1.375,13.958332999999998
1995-04-28,15.8125,17.1875,4.929688,14.5,17.40625,2.382813,24.0,11.9375,1.357143,13.875
1995-05-01,16.1875,17.5,5.117188,14.5,17.4375,2.386719,23.46875,11.75,1.3660709999999998,13.916667000000002
1995-05-02,16.25,17.3125,5.132813,14.40625,17.65625,2.40625,22.90625,11.5,1.3660709999999998,13.875
1995-05-03,16.28125,17.46875,5.015625,14.53125,17.71875,2.425781,23.25,11.6875,1.3660709999999998,13.875
1995-05-04,16.5,17.8125,5.09375,14.65625,17.6875,2.46875,23.6875,12.0,1.3660709999999998,14.125
1995-05-05,16.625,17.84375,5.085938,14.75,17.8125,2.425781,23.5625,11.9375,1.3839290000000002,14.5
1995-05-08,16.3125,17.59375,4.992188,14.875,17.75,2.390625,23.1875,11.875,1.424107,14.458332999999998
1995-05-09,16.6875,17.9375,5.0,15.1875,17.6875,2.453125,23.53125,11.9375,1.450893,14.75
1995-05-10,16.5625,17.84375,5.007813,15.25,17.53125,2.441406,23.46875,11.875,1.482143,14.833332999999998
1995-05-11,16.625,17.65625,4.945313,15.34375,17.59375,2.445313,23.375,11.75,1.486607,14.791667000000002
